brand,price,year,kilometers,gear_box,energy
VOLVO XC60 II,42290.0,2019,98580,Automatique,Hybrides
JEEP AVENGER,46450.0,2024,3422,Automatique,Électrique
AUDI A3 IV SPORTBACK,33050.0,2023,15336,Automatique,Essence
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
VOLVO XC60 II,42290.0,2019,98580,Automatique,Hybrides
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
VOLKSWAGEN TAIGO,26190.0,2023,19422,Manuelle,Essence
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
AUDI A6 (5E GENERATION) AVANT,54370.0,2020,42234,Automatique,Diesel
PEUGEOT 3008 II,27840.0,2021,88634,Automatique,Diesel
AUDI A3 III SPORTBACK phase 2,26730.0,2020,93930,Automatique,Essence
VOLKSWAGEN TAIGO,26190.0,2023,19422,Manuelle,Essence
JEEP AVENGER,46450.0,2024,3422,Automatique,Électrique
LAND ROVER RANGE ROVER SPORT II phase 2,80620.0,2021,78748,Automatique,Hybrides
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
VOLVO XC60 II,42290.0,2019,98580,Automatique,Hybrides
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
FORD MUSTANG MACH-E,50730.0,2022,30630,Automatique,Électrique
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
JEEP AVENGER,46450.0,2024,3422,Automatique,Électrique
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
AUDI A6 (5E GENERATION) AVANT,54370.0,2020,42234,Automatique,Diesel
PEUGEOT E-2008 II,40930.0,2023,1160,Automatique,Électrique
VOLVO XC60 II,42290.0,2019,98580,Automatique,Hybrides
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
VOLKSWAGEN TAIGO,26190.0,2023,19422,Manuelle,Essence
FIAT 500 X phase 2,23780.0,2021,56525,Automatique,Essence
VOLVO XC60 II,42290.0,2019,98580,Automatique,Hybrides
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
FIAT 500 X phase 2,23780.0,2021,56525,Automatique,Essence
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
PEUGEOT 3008 II,27840.0,2021,88634,Automatique,Diesel
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
PEUGEOT 208 II,25570.0,2023,12,Manuelle,Essence
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
AUDI A3 III SPORTBACK phase 2,26730.0,2020,93930,Automatique,Essence
PEUGEOT E-2008 II,40930.0,2023,1160,Automatique,Électrique
AUDI A3 III SPORTBACK phase 2,26730.0,2020,93930,Automatique,Essence
PEUGEOT 208 II,25570.0,2023,12,Manuelle,Essence
LAND ROVER RANGE ROVER SPORT II phase 2,80620.0,2021,78748,Automatique,Hybrides
FORD MUSTANG MACH-E,50730.0,2022,30630,Automatique,Électrique
LAND ROVER RANGE ROVER SPORT II phase 2,80620.0,2021,78748,Automatique,Hybrides
AUDI A3 III SPORTBACK phase 2,26730.0,2020,93930,Automatique,Essence
VOLVO XC60 II,42290.0,2019,98580,Automatique,Hybrides
JEEP AVENGER,46450.0,2024,3422,Automatique,Électrique
AUDI A6 (5E GENERATION) AVANT,54370.0,2020,42234,Automatique,Diesel
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
AUDI A6 (5E GENERATION) AVANT,54370.0,2020,42234,Automatique,Diesel
JEEP AVENGER,46450.0,2024,3422,Automatique,Électrique
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
FIAT 500 X phase 2,23780.0,2021,56525,Automatique,Essence
PEUGEOT 3008 II,27840.0,2021,88634,Automatique,Diesel
AUDI A6 (5E GENERATION) AVANT,54370.0,2020,42234,Automatique,Diesel
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
AUDI A3 IV SPORTBACK,33050.0,2023,15336,Automatique,Essence
VOLKSWAGEN TAIGO,26190.0,2023,19422,Manuelle,Essence
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
FIAT 500 X phase 2,23780.0,2021,56525,Automatique,Essence
AUDI A3 IV SPORTBACK,33050.0,2023,15336,Automatique,Essence
VOLVO XC60 II,42290.0,2019,98580,Automatique,Hybrides
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
FIAT 500 X phase 2,23780.0,2021,56525,Automatique,Essence
PEUGEOT 208 II,25570.0,2023,12,Manuelle,Essence
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
FIAT 500 X phase 2,23780.0,2021,56525,Automatique,Essence
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
FORD MUSTANG MACH-E,50730.0,2022,30630,Automatique,Électrique
MINI III CLUBMAN phase 2,25330.0,2021,45368,Automatique,Essence
PEUGEOT 3008 II phase 2,41420.0,2023,15999,Automatique,Hybrides
PEUGEOT E-2008 II,40930.0,2023,1160,Automatique,Électrique
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
VOLKSWAGEN TAIGO,26190.0,2023,19422,Manuelle,Essence
AUDI A3 III SPORTBACK phase 2,26730.0,2020,93930,Automatique,Essence
AUDI A3 IV SPORTBACK,33050.0,2023,15336,Automatique,Essence
PEUGEOT E-2008 II,40930.0,2023,1160,Automatique,Électrique
VOLKSWAGEN GOLF VII SW phase 2,19530.0,2020,79859,Manuelle,Diesel
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
VOLKSWAGEN ARTEON,31380.0,2020,30117,Automatique,Diesel
AUDI Q3 II SPORTBACK,61540.0,2020,51309,Automatique,Essence
AUDI A3 IV SPORTBACK,33050.0,2023,15336,Automatique,Essence
AUDI A6 (5E GENERATION) AVANT,54370.0,2020,42234,Automatique,Diesel
PEUGEOT 208 II,25570.0,2023,12,Manuelle,Essence
PEUGEOT 3008 II,27840.0,2021,88634,Automatique,Diesel
